# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 2784 2671
p 2 0 642 278 685 640
p 2 0 470 450 530 514
p 2 0 310 610 420 412
p 2 0 231 689 368 358
p 2 0 242 678 403 372
p 2 0 267 653 381 376
p 2 0 257 663 388 374
p 2 0 178 742 332 318
p 2 0 153 767 310 302
p 2 0 222 698 368 347
p 2 0 149 771 310 298
p 2 0 146 774 307 296
p 2 0 52 868 235 231
p 2 0 164 756 304 302
p 2 0 111 809 281 275
p 2 0 70 850 260 248
p 2 0 113 807 279 273
p 2 0 92 828 264 259
p 2 0 42 878 236 229
p 2 0 78 842 262 250
p 2 0 91 829 504 267
p 2 0 117 803 404 277
p 2 0 136 784 472 291
p 2 0 85 835 597 263
p 2 0 241 679 674 367
p 2 0 81 839 801 258
p 2 0 212 708 675 351
p 2 0 208 712 497 352
p 2 0 107 813 572 274
p 2 0 215 705 1019 351
p 2 0 69 851 926 260
p 2 0 189 731 1136 337
p 2 0 112 808 772 280
p 2 0 84 836 836 261
p 2 0 83 837 1134 266
p 2 0 127 793 779 300
p 2 0 183 737 1238 333
p 2 0 103 817 1234 280
p 2 0 201 719 1331 347
p 2 0 77 843 1509 265
p 2 0 154 766 1569 328
p 2 0 98 822 1579 280
p 2 0 160 760 1421 323
p 2 0 149 771 1617 308
p 2 0 114 806 1715 297
p 2 0 67 853 1104 254
p 2 0 97 823 1581 282
p 2 0 104 816 1834 291
p 2 0 106 814 1930 284
p 2 0 79 841 1759 260
p 2 0 219 701 1893 368
p 2 0 96 824 1618 275
p 2 0 129 791 1140 299
p 2 0 107 813 1958 290
p 2 0 119 801 1900 297
p 2 0 93 827 1840 277
p 2 0 87 833 2026 282
p 2 0 91 829 2092 273
p 2 0 187 733 1584 343
p 2 0 105 815 1548 287
p 2 0 142 778 1520 317
p 2 0 182 738 2047 341
p 2 0 118 802 2367 298
p 2 0 81 839 2469 273
p 2 0 81 839 1681 268
p 2 0 121 799 1591 294
p 2 0 89 831 1793 276
p 2 0 73 847 1508 261
p 2 0 81 839 2619 271
p 2 0 58 862 2169 246
p 2 0 156 764 2682 324
p 2 0 123 797 2349 304
p 2 0 217 703 2059 368
p 2 0 114 806 2318 297
p 2 0 181 739 2566 349
p 2 0 105 815 1215 286
p 2 0 210 710 2647 365
p 2 0 168 752 2130 332
p 2 0 68 852 2449 266
p 2 0 157 763 2466 325
p 2 0 69 851 2090 264
p 2 0 106 814 2768 291
p 2 0 157 763 2920 330
p 2 0 93 827 2365 286
p 2 0 94 826 3299 292
p 2 0 79 841 2111 270
p 2 0 202 718 3268 365
p 2 0 81 839 2025 274
p 2 0 113 807 2754 295
p 2 0 92 828 1948 283
p 2 0 120 800 3262 317
p 2 0 170 750 2238 338
p 2 0 111 809 3289 304
p 2 0 109 811 3005 302
p 2 0 123 797 2609 310
p 2 0 144 776 1960 319
p 2 0 158 762 1735 324
p 2 0 79 841 1488 268
p 2 0 140 780 1673 313
p 2 0 97 823 3389 293
p 2 0 169 751 2971 347
p 2 0 167 753 2434 339
p 2 0 245 675 4107 389
p 2 0 161 759 4092 339
p 2 0 234 686 3414 383
p 2 0 152 768 3103 327
p 2 0 247 673 4306 402
p 2 0 112 808 3987 310
p 2 0 223 697 3108 377
p 2 0 74 846 2119 266
p 2 0 141 779 1972 309
p 2 0 91 829 2846 283
p 2 0 191 729 2955 357
p 2 0 109 811 5330 315
p 2 0 135 785 4022 322
p 2 0 87 833 1154 275
p 2 0 150 770 4797 335
p 2 0 98 822 2387 285
p 2 0 95 825 3137 287
p 2 0 117 803 4515 316
p 2 0 156 764 5226 348
p 2 0 110 810 3738 301
p 2 0 112 808 2422 302
p 2 0 169 751 5232 355
p 2 0 120 800 4936 317
p 2 0 183 737 5269 368
p 2 0 150 770 4929 354
p 2 0 229 691 5345 388
p 2 0 148 772 5565 343
p 2 0 184 736 5665 367
p 2 0 167 753 5816 357
p 2 0 155 765 5093 342
p 2 0 169 751 4433 349
p 2 0 181 739 5751 367
p 2 0 89 831 4347 290
p 2 0 136 784 5184 337
p 2 0 94 826 4316 296
p 2 0 118 802 2310 306
p 2 0 114 806 5170 312
p 2 0 146 774 4047 326
p 2 0 118 802 3382 306
p 2 0 112 808 3178 298
p 2 0 124 796 4173 313
p 2 0 131 789 1887 312
p 2 0 113 807 3648 306
p 2 0 201 719 3844 359
p 2 0 138 782 5186 323
p 2 0 163 757 6050 367
p 2 0 149 771 5641 343
p 2 0 142 778 4722 330
p 2 0 113 807 3656 299
